Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7207000000.0,0,1997 Q1
1997,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7529000000.0,0,1997 Q2
1997,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7563000000.0,0,1997 Q3
1997,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8251000000.0,0,1997 Q4
1998,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7619000000.0,0,1998 Q1
1998,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7897000000.0,0,1998 Q2
1998,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7593000000.0,0,1998 Q3
1998,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8194000000.0,0,1998 Q4
1999,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7590000000.0,0,1999 Q1
1999,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7951000000.0,0,1999 Q2
1999,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7934000000.0,0,1999 Q3
1999,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8718000000.0,0,1999 Q4
2000,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7724000000.0,0,2000 Q1
2000,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8115000000.0,0,2000 Q2
2000,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8054000000.0,0,2000 Q3
2000,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8745000000.0,0,2000 Q4
2001,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7788000000.0,0,2001 Q1
2001,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8167000000.0,0,2001 Q2
2001,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8059000000.0,0,2001 Q3
2001,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8709000000.0,0,2001 Q4
2002,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7691000000.0,0,2002 Q1
2002,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8031000000.0,0,2002 Q2
2002,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7988000000.0,0,2002 Q3
2002,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8815000000.0,0,2002 Q4
2003,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7844000000.0,0,2003 Q1
2003,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8183000000.0,0,2003 Q2
2003,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8210000000.0,0,2003 Q3
2003,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8990000000.0,0,2003 Q4
2004,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7740000000.0,0,2004 Q1
2004,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8031000000.0,0,2004 Q2
2004,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7908000000.0,0,2004 Q3
2004,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8776000000.0,0,2004 Q4
2005,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7705000000.0,0,2005 Q1
2005,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8102000000.0,0,2005 Q2
2005,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8335000000.0,0,2005 Q3
2005,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9256000000.0,0,2005 Q4
2006,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8107000000.0,0,2006 Q1
2006,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8738000000.0,0,2006 Q2
2006,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8747000000.0,0,2006 Q3
2006,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9267000000.0,0,2006 Q4
2007,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8226000000.0,0,2007 Q1
2007,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8340000000.0,0,2007 Q2
2007,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8277000000.0,0,2007 Q3
2007,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8958000000.0,0,2007 Q4
2008,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,7812000000.0,0,2008 Q1
2008,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8461000000.0,0,2008 Q2
2008,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8728000000.0,0,2008 Q3
2008,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9824000000.0,0,2008 Q4
2009,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8685000000.0,0,2009 Q1
2009,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9325000000.0,0,2009 Q2
2009,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9335000000.0,0,2009 Q3
2009,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10089000000.0,0,2009 Q4
2010,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8754000000.0,0,2010 Q1
2010,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9106000000.0,0,2010 Q2
2010,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,8970000000.0,0,2010 Q3
2010,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10161000000.0,0,2010 Q4
2011,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9487000000.0,0,2011 Q1
2011,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10245000000.0,0,2011 Q2
2011,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10398000000.0,0,2011 Q3
2011,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11280000000.0,0,2011 Q4
2012,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10020000000.0,0,2012 Q1
2012,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10006000000.0,0,2012 Q2
2012,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10100000000.0,0,2012 Q3
2012,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11124000000.0,0,2012 Q4
2013,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10362000000.0,0,2013 Q1
2013,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10120000000.0,0,2013 Q2
2013,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10744000000.0,0,2013 Q3
2013,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11525000000.0,0,2013 Q4
2014,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10398000000.0,0,2014 Q1
2014,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10202000000.0,0,2014 Q2
2014,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10413000000.0,0,2014 Q3
2014,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11204000000.0,0,2014 Q4
2015,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9946000000.0,0,2015 Q1
2015,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9899000000.0,0,2015 Q2
2015,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10065000000.0,0,2015 Q3
2015,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10993000000.0,0,2015 Q4
2016,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9582000000.0,0,2016 Q1
2016,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,9835000000.0,0,2016 Q2
2016,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10012000000.0,0,2016 Q3
2016,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11092000000.0,0,2016 Q4
2017,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10101000000.0,0,2017 Q1
2017,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10807000000.0,0,2017 Q2
2017,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11027000000.0,0,2017 Q3
2017,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12171000000.0,0,2017 Q4
2018,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,10740000000.0,0,2018 Q1
2018,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11386000000.0,0,2018 Q2
2018,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11661000000.0,0,2018 Q3
2018,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12691000000.0,0,2018 Q4
2019,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11192000000.0,0,2019 Q1
2019,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11561000000.0,0,2019 Q2
2019,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11682000000.0,0,2019 Q3
2019,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12536000000.0,0,2019 Q4
2020,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11342000000.0,0,2020 Q1
2020,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,13562000000.0,0,2020 Q2
2020,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,13361000000.0,0,2020 Q3
2020,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,14563000000.0,0,2020 Q4
2021,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12769000000.0,0,2021 Q1
2021,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,13421000000.0,0,2021 Q2
2021,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12705000000.0,0,2021 Q3
2021,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,13542000000.0,0,2021 Q4
2022,Q1,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,11947000000.0,0,2022 Q1
2022,Q2,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12864000000.0,0,2022 Q2
2022,Q3,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,12667000000.0,0,2022 Q3
2022,Q4,Alcoholicbeveragesandtobacco_note1,02,ADFL,02CN,https://www.ons.gov.uk/search?q=ADFL,13609000000.0,0,2022 Q4
1997,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2080000000.0,0,1997 Q1
1997,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2335000000.0,0,1997 Q2
1997,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2313000000.0,0,1997 Q3
1997,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2991000000.0,0,1997 Q4
1998,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2173000000.0,0,1998 Q1
1998,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2563000000.0,0,1998 Q2
1998,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2403000000.0,0,1998 Q3
1998,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3079000000.0,0,1998 Q4
1999,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2254000000.0,0,1999 Q1
1999,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2533000000.0,0,1999 Q2
1999,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2482000000.0,0,1999 Q3
1999,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3294000000.0,0,1999 Q4
2000,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2306000000.0,0,2000 Q1
2000,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2603000000.0,0,2000 Q2
2000,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2621000000.0,0,2000 Q3
2000,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3398000000.0,0,2000 Q4
2001,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2403000000.0,0,2001 Q1
2001,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2678000000.0,0,2001 Q2
2001,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2652000000.0,0,2001 Q3
2001,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3384000000.0,0,2001 Q4
2002,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2450000000.0,0,2002 Q1
2002,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2732000000.0,0,2002 Q2
2002,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2745000000.0,0,2002 Q3
2002,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3627000000.0,0,2002 Q4
2003,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2631000000.0,0,2003 Q1
2003,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2998000000.0,0,2003 Q2
2003,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3027000000.0,0,2003 Q3
2003,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3873000000.0,0,2003 Q4
2004,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2741000000.0,0,2004 Q1
2004,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3016000000.0,0,2004 Q2
2004,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2884000000.0,0,2004 Q3
2004,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3785000000.0,0,2004 Q4
2005,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2654000000.0,0,2005 Q1
2005,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2998000000.0,0,2005 Q2
2005,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3097000000.0,0,2005 Q3
2005,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3828000000.0,0,2005 Q4
2006,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2663000000.0,0,2006 Q1
2006,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3132000000.0,0,2006 Q2
2006,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3131000000.0,0,2006 Q3
2006,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3811000000.0,0,2006 Q4
2007,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2905000000.0,0,2007 Q1
2007,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3194000000.0,0,2007 Q2
2007,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3254000000.0,0,2007 Q3
2007,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3965000000.0,0,2007 Q4
2008,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2735000000.0,0,2008 Q1
2008,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3211000000.0,0,2008 Q2
2008,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3345000000.0,0,2008 Q3
2008,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,4294000000.0,0,2008 Q4
2009,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,2991000000.0,0,2009 Q1
2009,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3404000000.0,0,2009 Q2
2009,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3486000000.0,0,2009 Q3
2009,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,4458000000.0,0,2009 Q4
2010,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3160000000.0,0,2010 Q1
2010,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3546000000.0,0,2010 Q2
2010,Q3,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3416000000.0,0,2010 Q3
2010,Q4,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,4418000000.0,0,2010 Q4
2011,Q1,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3382000000.0,0,2011 Q1
2011,Q2,Alcoholicbeverages_note1,02.1,ADFM,02CN,https://www.ons.gov.uk/search?q=ADFM,3788000000.0,0,2011 Q2
